NA-88,Sargodha,Punjab,Muktar Ahmad Bharat,PML-N,12373
NA-88,Sargodha,Punjab,Nadeem Afzal Gondal,PTI,8170
NA-89,Sargodha,Punjab,Usama Ghias Ahmad Mela,PTI,15698
NA-89,Sargodha,Punjab,Mohsin Shahnawaz Ranjha,PML-N,12431
NA-90,Sargodha,Punjab,Doctor Nadia Aziz,PTI,19475
NA-90,Sargodha,Punjab,Chaudhary Hamid Hameed,PML-N,16651
NA-92,Sargodha,Punjab,Syed Javed Hasnain Shah,PML-N,9613
NA-92,Sargodha,Punjab,Sahibzada Naeem Ud Din Sialvi,PTI,6754
NA-92,Sargodha,Punjab,Zafar Ahmad,IND,746
NA-93,Khushab,Punjab,Malik Umer Aslam Awan,PTI,5866
NA-93,Khushab,Punjab,Sumaira Malik,PML-N,3326
NA-94,Khushab,Punjab,Malik Mohammad Ehsan Ullah Tiwana,PTI,10602
NA-94,Khushab,Punjab,Malik Shakir Bashir Awan,PML-N,6656
NA-95,Mianwali,Punjab,Imran Ahmad Khan Niazi,PTI,15556
NA-95,Mianwali,Punjab,Obaid Ullah Khan,PML-N,2606
NA-96,Mianwali,Punjab,Amjad Ali Khan,PTI,73345
NA-96,Mianwali,Punjab,Muhammad Humair Hayat Khan Niazi,PML-N,15966
NA-97,Bhakkar,Punjab,Muhammad Sana Ullah Khan Masti Khel,IND,3699
NA-97,Bhakkar,Punjab,Abdul Majeed Khan,PML-N,1684
NA-97,Bhakkar,Punjab,Malik Amjad Ali,PTI,60
NA-98,Bhakkar,Punjab,Rasheed Akbar Khan,IND,4745
NA-98,Bhakkar,Punjab,Muhammad Afzal Khan,PTI,1992
NA-99,Chiniot,Punjab,Ghulam Abbas,IND,113
NA-99,Chiniot,Punjab,Ghulam Muhammad,PTI,82
NA-101,Faisalabad,Punjab,Chaudhary Muhammad Asim Nazeer,IND,20205
NA-101,Faisalabad,Punjab,Zafar Zulqarnain Sahi,PTI,10406
NA-104,Faisalabad,Punjab,Ch. Muhammad Shahbaz Babar,PML-N,440
NA-104,Faisalabad,Punjab,Sardar dildar ahmed cheema,PTI,272
NA-104,Faisalabad,Punjab,Khalid Mehmood gill,IND,125
